point_id;Original City Name;City Name;Fragment of City;Coordinates;District in MAGP;Wiki;Comment
82;Woryty;;;53.755,20.209444;Olsztyn;https://pl.wikipedia.org/wiki/Woryty;
83;Gajewo-Kolonia (Zabudowania);;;53.6575,18.635833;Świecie;https://pl.wikipedia.org/wiki/Gajewo-Zabudowania;
84;Kiełpin;;;53.623889,17.881389;Tuchola;https://pl.wikipedia.org/wiki/Kie%C5%82pin_(wojew%C3%B3dztwo_kujawsko-pomorskie);
85;Nowy Barkoczyn (Barkocin);;;54.101111,18.1325;Kościerzyna;https://pl.wikipedia.org/wiki/Nowy_Barkoczyn;
86;Sztumskie Pole;;;53.928889,19.001111;Sztum;https://pl.wikipedia.org/wiki/Sztumskie_Pole;
87;Upałty;;;54.004722,21.868611;Giżycko;https://pl.wikipedia.org/wiki/Upa%C5%82ty;
88;Kiliany;;;54.111389,22.372222;Olecko;https://pl.wikipedia.org/wiki/Kiliany;
89;Radziuszki;;;54.11,23.317778;Suwałki;https://pl.wikipedia.org/wiki/Radziuszki;
90;Chwaszczyno;;;54.443611,18.418889;Wejherowo;https://pl.wikipedia.org/wiki/Chwaszczyno;
90A;Żukowo ;;;54.345833,18.360556;Kartuzy;https://pl.wikipedia.org/wiki/%C5%BBukowo;
90B;Zawory;;;54.312778,18.111389;Kartuzy;https://pl.wikipedia.org/wiki/Zawory_(wojew%C3%B3dztwo_pomorskie);
91;Strzepcz;;;54.455833,18.023056;Wejherowo;https://pl.wikipedia.org/wiki/Strzepcz;
91A;Studzienice;;;54.092222,17.575556;Bytów;https://pl.wikipedia.org/wiki/Studzienice_(powiat_bytowski);
92;Mińkowice-Sławoszyno;;;54.786111,18.195278;Wejherowo;https://pl.wikipedia.org/wiki/S%C5%82awoszyno;
92A;Kluki;;;54.682222,17.337222;Słupsk;https://pl.wikipedia.org/wiki/Kluki_(wojew%C3%B3dztwo_pomorskie);
93;Jakubowice;;;50.020833,17.851389;Głubczyce;https://pl.wikipedia.org/wiki/Jakubowice_(powiat_g%C5%82ubczycki);
94;Tuligłowy;;;49.597778,23.640833;Rudki (USRR);https://pl.wikipedia.org/wiki/Tulig%C5%82owy_(obw%C3%B3d_lwowski);
95;Hanaczów;;;49.710278,24.421111;Przemyślany (USRR);https://pl.wikipedia.org/wiki/Hanacz%C3%B3w;
96;Stara Huta;;;49.066667,25.116667;Buczacz (USRR);https://pl.wikipedia.org/wiki/Huta_Stara_(rejon_czortkowski);
97;Majdańska Huta;;;50.509444,26.259722;Zdołbunów (USRR);https://pl.wikipedia.org/wiki/Zdo%C5%82bun%C3%B3w;
98;Rzewnuszki;;;51.2125,24.711667;Kowel (USRR);https://pl.wikipedia.org/wiki/Kowel;
99;Nowe Troki;;;54.633333,24.933333;Wilno - Troki;https://pl.wikipedia.org/wiki/Troki;
100;Rogów;;;55.25,24.75;Wiłkomierz (LSRR);https://pl.wikipedia.org/wiki/Wi%C5%82komierz;
;;;;;;;
1a;Międzybrodzie Bialskie;;;49.787222,19.194167;Żywiec;https://pl.wikipedia.org/wiki/Mi%C4%99dzybrodzie_Bialskie;
2d;Zakopane-Gładkie;;;49.299444,19.951944;Zakopane;https://pl.wikipedia.org/wiki/Zakopane;
3a;Krościenko;;;49.441389,20.428889;Nowy Targ;https://pl.wikipedia.org/wiki/Kro%C5%9Bcienko_nad_Dunajcem;
7a;Jasionka;;;50.115556,22.049722;Rzeszów;https://pl.wikipedia.org/wiki/Jasionka_(powiat_rzeszowski);
7b;Domaradz;;;49.788333,21.944722;Brzozów;https://pl.wikipedia.org/wiki/Domaradz_(wojew%C3%B3dztwo_podkarpackie);
8a;Lichwin;;;49.888333,20.958611;Tarnów;https://pl.wikipedia.org/wiki/Lichwin_(wojew%C3%B3dztwo_ma%C5%82opolskie);
9a;Rajbrot;;;49.822222,20.488333;Bochnia;https://pl.wikipedia.org/wiki/Rajbrot;
9b;Czchów;;;49.833889,20.673056;Brzesko;https://pl.wikipedia.org/wiki/Czch%C3%B3w;
9c;Kasinka Mała;;;49.720556,20.049444;Limanowa;https://pl.wikipedia.org/wiki/Kasinka_Ma%C5%82a;
9d;Dziewin;;;50.075,20.455278;Bochnia;https://pl.wikipedia.org/wiki/Dziewin_(wojew%C3%B3dztwo_ma%C5%82opolskie);
10a;Więciórka;;;49.761667,19.843056;Myślenice;https://pl.wikipedia.org/wiki/Wi%C4%99ci%C3%B3rka;
11a;Olza;;;49.954167,18.338889;Rybnik;https://pl.wikipedia.org/wiki/Olza_(wie%C5%9B);
12c;Góra Św. Anny;;;50.459167,18.168333;Strzelce;https://pl.wikipedia.org/wiki/G%C3%B3ra_%C5%9Awi%C4%99tej_Anny;
13a;Łubie;;;50.436111,18.656111;Gliwice;https://pl.wikipedia.org/wiki/%C5%81ubie;
13b;Hanusek;;;50.506944,18.766667;Gliwice;https://pl.wikipedia.org/wiki/Hanusek;
13c;Bełk;;;50.130556,18.710278;Rybnik;https://pl.wikipedia.org/wiki/Be%C5%82k_(wojew%C3%B3dztwo_%C5%9Bl%C4%85skie);
13d;Błażejowice;;;50.197778,18.186944;Koźle;https://pl.wikipedia.org/wiki/B%C5%82a%C5%BCejowice_(powiat_k%C4%99dzierzy%C5%84sko-kozielski);
14a;Witeradów;;;50.249722,19.576944;Olkusz;https://pl.wikipedia.org/wiki/Witerad%C3%B3w;
16a;Sępichów;;;50.312222,20.758611;Busko;https://pl.wikipedia.org/wiki/S%C4%99pich%C3%B3w;
16b;Izbiska;;;50.249167,21.251667;Mielec;https://pl.wikipedia.org/wiki/Izbiska_(wojew%C3%B3dztwo_podkarpackie);
16c;Samocice;;;50.267222,20.850278;Dąbrowa Tarnowska;https://pl.wikipedia.org/wiki/Samocice;
17a;Grębów;;;50.568333,21.883889;Tarnobrzeg;https://pl.wikipedia.org/wiki/Gr%C4%99b%C3%B3w_(wojew%C3%B3dztwo_podkarpackie);
17b;Mazury;;;50.263611,22.062778;Kolbuszowa;https://pl.wikipedia.org/wiki/Mazury_(wojew%C3%B3dztwo_podkarpackie);
18a;Przędzel;;;50.490278,22.225833;Nisko;https://pl.wikipedia.org/wiki/Prz%C4%99dzel;
19b;Majdan Niepryski;;;50.489722,23.078333;Zamość;https://pl.wikipedia.org/wiki/Majdan_Nepryski;
22a;Majdan-Grabina;;;50.926389,22.409722;Kraśnik;https://pl.wikipedia.org/wiki/Majdan-Grabina;
22b;Krzczonów;;;51.006944,22.710556;Lublin;https://pl.wikipedia.org/wiki/Krzczon%C3%B3w_(wojew%C3%B3dztwo_lubelskie);
