Nr;Original City Name;City Name Today;Fragment of City;Coordinates;Wiki;Comment;XV.1/0;XV.1/1;XV.1/2;XV.1/3;XV.1/4;XV.1/5;XV.1/6;XV.1/7;XV.1/8;XV.1/9;XV.1/10;XV.1/11;XV.38/0;XV.38/1;XV.38/2;XV.38/3;XV.38/4;XV.38/5;XV.38/6;XV.38/7;XV.38/8;XV.38/9;XV.38/10;XV.38/11;XV.38/12;XV.38/13;XV.38/14;Map_1;Map_2;Map_3
50;Strzepcz;;;54.455833, 18.023056;https://pl.wikipedia.org/wiki/Strzepcz;;a;;;a;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;bbbbb;bbbbb
51;Stara Huta;;;54.314722, 17.72;https://pl.wikipedia.org/wiki/Stara_Huta_(gmina_Sierakowice);;a;;;a;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;bbbbb;bbbbb
52;Gowidlino;;;54.325278, 17.789444;https://pl.wikipedia.org/wiki/Gowidlino;;;;;a;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;bbbbb;bbbbb
53;Klukowa Huta;;;54.240833, 17.897222;https://pl.wikipedia.org/wiki/Klukowa_Huta;;a;;;a;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;bbbbb;bbbbb
54;Kistowo;;;54.2675, 17.75;https://pl.wikipedia.org/wiki/Kistowo;;;1;;;1;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;bbbbb;bbbbb
55;Suleczyno;Sulęczyno;;54.232222, 17.774167;https://pl.wikipedia.org/wiki/Sul%C4%99czyno;;a;;;a;1;;;;1;1;1;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;bbbbb;bbbbb
56;Kamienica Królewska;;;54.391389, 17.888333;https://pl.wikipedia.org/wiki/Kamienica_Kr%C3%B3lewska;;a;;;a;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;bbbbb;bbbbb
57;Sierakowice;;;54.345556, 17.893056;https://pl.wikipedia.org/wiki/Sierakowice_(wojew%C3%B3dztwo_pomorskie);Punkt w AJK jest bardziej na południe od tu podanych koordynatów (centrum sierakowic);a;;;a;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;bbbbb;bbbbb
58;Kowale;;;54.357778, 17.793611;https://pl.wikipedia.org/wiki/Kowale_(powiat_kartuski);;a;;;;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;bbbbb;bbbbb
59;Kujaty;;;54.301111, 17.885278;https://pl.wikipedia.org/wiki/Kujaty;;a;;;a;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;bbbbb;bbbbb
60;Długikierz;Długi Kierz;;54.298333, 17.973611;https://pl.wikipedia.org/wiki/D%C5%82ugi_Kierz;;a;;;a;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;bbbbb;bbbbb
61;Szopa;;;54.360833, 17.973056;https://pl.wikipedia.org/wiki/Szopa_(wojew%C3%B3dztwo_pomorskie);;a;;;a;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;bbbbb;bbbbb
62;Mirachowo;;;54.395, 18.027778;https://pl.wikipedia.org/wiki/Mirachowo_(wie%C5%9B);;a;;;a;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;bbbbb;bbbbb
63;Pomieczyńska Huta;;;54.388611, 18.17;https://pl.wikipedia.org/wiki/Pomieczy%C5%84ska_Huta;;a;;;a;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;bbbbb;bbbbb
64;Kożyczkowo;;;54.3525, 18.085833;https://pl.wikipedia.org/wiki/Ko%C5%BCyczkowo;;a;;;a;;;;1;1;;1;1;1;;;;;;;1;1;1;1;1;;;1;bbbbb;bbbbb;bbbbb
65;Zawory;;;54.312778, 18.111389;https://pl.wikipedia.org/wiki/Zawory_(wojew%C3%B3dztwo_pomorskie);;;1;;;1;;;;1;;;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;bbbbb;bbbbb
66;Łączyno;;;54.268333, 18.003056;https://pl.wikipedia.org/wiki/%C5%81%C4%85czyno;;;1;;a;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;bbbbb;bbbbb
67;Ostrzyce;;;54.256944, 18.111667;https://pl.wikipedia.org/wiki/Ostrzyce_(wojew%C3%B3dztwo_pomorskie);;;1;;;1;;;;1;;;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;bbbbb;bbbbb
68;Zgorzałe;;;54.236667, 17.984722;https://pl.wikipedia.org/wiki/Zgorza%C5%82e;;;1;;a;;;;;1;;;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;bbbbb;bbbbb
